@relation InstanceResultListener

@attribute Key_Dataset {country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 137\nSize of the tree: 146\n','Number of leaves: 139\nSize of the tree: 150\n','Number of leaves: 140\nSize of the tree: 152\n','Number of leaves: 142\nSize of the tree: 156\n','Number of leaves: 356\nSize of the tree: 499\n','Number of leaves: 141\nSize of the tree: 154\n','Number of leaves: 351\nSize of the tree: 489\n','Number of leaves: 350\nSize of the tree: 487\n','Number of leaves: 136\nSize of the tree: 144\n','Number of leaves: 360\nSize of the tree: 507\n','Number of leaves: 138\nSize of the tree: 148\n','Number of leaves: 135\nSize of the tree: 142\n','Number of leaves: 143\nSize of the tree: 158\n','Number of leaves: 353\nSize of the tree: 493\n','Number of leaves: 354\nSize of the tree: 495\n','Number of leaves: 144\nSize of the tree: 160\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,525,44,0,92.267135,7.732865,0,0.90989,0.008746,0.066775,12.159459,35.218591,1988.417098,2361.884705,-373.467607,3.494582,4.15094,-0.656358,1782.846891,3.133299,89.661615,0.962264,102,0.025918,12,0.974082,451,0.037736,4,0.894737,0.962264,0.927273,0.910797,0.996699,0.984444,0.922671,0.014945,0.985055,0.077329,0.927524,0.922671,0.922732,0.912165,0.993878,0.957302,0.917804,0.922671,0.087,0.003,0.078125,0,78.125,0,110975,649091,80216,98.594025,9.241359,'Number of leaves: 137\nSize of the tree: 146\n',146,137,137
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,518,51,0,91.036907,8.963093,0,0.895456,0.008849,0.06821,12.29895,35.963519,1995.431676,4504.287392,-2508.855716,3.50691,7.916147,-4.409237,1777.93574,3.124667,89.100307,0.962264,102,0.021598,10,0.978402,453,0.037736,4,0.910714,0.962264,0.93578,0.92111,0.997575,0.98621,0.910369,0.018913,0.981087,0.089631,0.921223,0.910369,0.911019,0.898597,0.992203,0.956647,0.908317,0.910369,0.13,0.003,0.046875,0,46.875,0,110975,649091,80216,98.066784,8.758055,'Number of leaves: 137\nSize of the tree: 146\n',146,137,137
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,531,38,0,93.321617,6.678383,0,0.921958,0.007144,0.060185,9.928396,31.73229,1994.205628,1242.885011,751.320617,3.504755,2.184332,1.320423,1830.91157,3.217771,91.811574,0.943396,100,0.00432,2,0.99568,461,0.056604,6,0.980392,0.943396,0.961538,0.953204,0.997901,0.990237,0.933216,0.018476,0.981524,0.066784,0.93986,0.933216,0.933733,0.922555,0.996228,0.972112,0.940291,0.933216,0.093,0.003,0.046875,0,46.875,0,113463,649091,80216,99.121265,8.11365,'Number of leaves: 139\nSize of the tree: 150\n',150,139,139
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,531,38,0,93.321617,6.678383,0,0.922097,0.007209,0.060336,10.020849,31.816651,1995.585991,2318.414434,-322.828443,3.507181,4.074542,-0.567361,1831.837383,3.219398,91.79446,0.933333,98,0.010776,5,0.989224,459,0.066667,7,0.951456,0.933333,0.942308,0.92947,0.991544,0.979516,0.933216,0.016026,0.983974,0.066784,0.936995,0.933216,0.933035,0.922277,0.995141,0.970556,0.940305,0.933216,0.064,0.034,0.0625,0,62.5,0,114707,649091,80216,98.769772,7.937903,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,526,43,0,92.442882,7.557118,0,0.912447,0.008003,0.063126,11.127161,33.297262,1990.804196,3406.3817,-1415.577505,3.498777,5.986611,-2.487834,1798.858245,3.161438,90.358371,0.971429,102,0.028017,13,0.971983,451,0.028571,3,0.886957,0.971429,0.927273,0.911335,0.998122,0.991441,0.924429,0.010916,0.989084,0.075571,?,0.924429,?,?,0.994109,0.963815,?,0.924429,0.055,0.002,0.0625,0,62.5,0,113463,649091,80216,98.242531,8.047745,'Number of leaves: 139\nSize of the tree: 150\n',150,139,139
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,525,44,0,92.267135,7.732865,0,0.909896,0.00784,0.063793,10.902205,33.656074,1992.076092,4482.441108,-2490.365016,3.501012,7.877752,-4.37674,1799.961351,3.163377,90.356054,0.981132,104,0.015119,7,0.984881,456,0.018868,2,0.936937,0.981132,0.958525,0.949144,0.998686,0.992352,0.922671,0.014729,0.985271,0.077329,?,0.922671,?,?,0.992223,0.957605,?,0.922671,0.07,0.016,0.046875,0.015625,46.875,15.625,110975,649091,80216,98.066784,8.069713,'Number of leaves: 137\nSize of the tree: 146\n',146,137,137
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,520,49,0,91.388401,8.611599,0,0.899448,0.008235,0.066362,11.452105,35.011823,1991.873278,11964.340015,-9972.466736,3.500656,21.02696,-17.526304,1787.120115,3.140809,89.720573,0.962264,102,0.032397,15,0.967603,448,0.037736,4,0.871795,0.962264,0.914798,0.895781,0.997107,0.987281,0.913884,0.018499,0.981501,0.086116,0.919801,0.913884,0.912922,0.900403,0.986528,0.9551,0.912294,0.913884,0.073,0.003,0.0625,0,62.5,0,117195,649091,80216,97.891037,7.806093,'Number of leaves: 142\nSize of the tree: 156\n',156,142,142
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,531,38,0,93.321617,6.678383,0,0.922132,0.006677,0.058546,9.285351,30.887844,1991.873278,167.015754,1824.857525,3.500656,0.293525,3.207131,1839.877587,3.233528,92.369209,0.95283,101,0.015119,7,0.984881,456,0.04717,5,0.935185,0.95283,0.943925,0.931001,0.997372,0.989395,0.933216,0.015841,0.984159,0.066784,0.93521,0.933216,0.93285,0.920843,0.996884,0.974352,0.950163,0.933216,0.062,0.002,0.046875,0,46.875,0,114707,649091,80216,99.472759,7.139719,'Number of leaves: 140\nSize of the tree: 152\n',152,140,140
country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210312.1422,5120,569,531,38,0,93.321617,6.678383,0,0.922138,0.007305,0.060377,10.158285,31.851827,1993.042252,4450.396757,-2457.354505,3.50271,7.821435,-4.318725,1832.599245,3.220737,91.949844,0.933962,99,0.017279,8,0.982721,455,0.066038,7,0.925234,0.933962,0.929577,0.913377,0.987051,0.972484,0.933216,0.01578,0.98422,0.066784,?,0.933216,?,?,0.993864,0.971346,?,0.933216,0.044,0.001,0.046875,0,46.875,0,113463,649091,80216,99.297012,7.791447,'Number of leaves: 139\nSize of the tree: 150\n',150,139,139
