@relation country_vaccinations-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute country {Albania,Algeria,Andorra,Anguilla,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Brazil,Bulgaria,Cambodia,Canada,'Cayman Islands',Chile,China,Colombia,'Costa Rica',Croatia,Cyprus,Czechia,Denmark,Dominica,'Dominican Republic',Ecuador,Egypt,'El Salvador',England,Estonia,'Faeroe Islands','Falkland Islands',Finland,France,Germany,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guernsey,Guyana,Honduras,'Hong Kong',Hungary,Iceland,India,Indonesia,Iran,Ireland,'Isle of Man',Israel,Italy,Japan,Jersey,Jordan,Kazakhstan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macao,Malaysia,Maldives,Malta,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Myanmar,Nepal,Netherlands,'New Zealand','Northern Cyprus','Northern Ireland',Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,'Saint Helena','Saint Lucia','San Marino','Saudi Arabia',Scotland,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,'South Africa','South Korea',Spain,'Sri Lanka',Sweden,Switzerland,Thailand,'Trinidad and Tobago',Turkey,'Turks and Caicos Islands',Ukraine,'United Arab Emirates','United Kingdom','United States',Uruguay,Venezuela,Wales,Zimbabwe}
@attribute date {1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,12/27/2020,12/28/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/13/2020}
@attribute total_vaccinations numeric
@attribute people_vaccinated numeric
@attribute people_fully_vaccinated numeric
@attribute daily_vaccinations_raw numeric
@attribute daily_vaccinations numeric
@attribute total_vaccinations_per_hundred numeric
@attribute people_vaccinated_per_hundred numeric
@attribute people_fully_vaccinated_per_hundred numeric
@attribute daily_vaccinations_per_million numeric
@attribute vaccines {Pfizer/BioNTech,'Sputnik V',Oxford/AstraZeneca,'Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V','Oxford/AstraZeneca, Pfizer/BioNTech','Moderna, Oxford/AstraZeneca, Pfizer/BioNTech',Sinovac,'Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V','Oxford/AstraZeneca, Sinovac',Sinopharm/Beijing,'Moderna, Pfizer/BioNTech','Pfizer/BioNTech, Sinovac','Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac',Moderna,'Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V','Covaxin, Oxford/AstraZeneca','Pfizer/BioNTech, Sinopharm/Beijing','Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V','Sinopharm/Beijing, Sputnik V','Oxford/AstraZeneca, Sinopharm/Beijing','EpiVacCorona, Sputnik V',Johnson&Johnson,'Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V','Johnson&Johnson, Moderna, Pfizer/BioNTech'}

@data
Albania,1/10/2021,0.022036,0.027976,0.019924,0.028141,0.026772,0,0,0.060252,0.046906,Pfizer/BioNTech
Albania,1/11/2021,0.022036,0.027976,0.019924,0.027992,0.000029,0.062946,0.077042,0.060252,0.000405,Pfizer/BioNTech
Canada,1/12/2021,0.000001,0.000002,0.019924,0.027992,0.000029,0,0,0.060252,0.046467,Pfizer/BioNTech
Albania,1/13/2021,0.000002,0.000003,0.019924,0.000021,0.000029,0.000076,0.000118,0.060252,0.046467,Pfizer/BioNTech
Albania,1/14/2021,0.000003,0.000004,0.019924,0.000027,0.00003,0.000076,0.000118,0.060252,0.000424,Pfizer/BioNTech
Albania,1/15/2021,0.000003,0.000005,0.019924,0.000014,0.000028,0.000076,0.000118,0.060252,0.000405,Pfizer/BioNTech
Albania,1/16/2021,0.000004,0.000006,0.019924,0.000021,0.000028,0.000076,0.000118,0.060252,0.000405,Pfizer/BioNTech
Albania,1/17/2021,0.000004,0.028297,0.019924,0.000012,0.000026,0.000076,0.000118,0.060252,0.000369,Pfizer/BioNTech
Albania,1/18/2021,0.000005,0.000007,0.019924,0.000014,0.027278,0.000152,0.07766,0.060252,0.046467,Pfizer/BioNTech
Canada,1/19/2021,0.000005,0.000008,0.019924,0.000012,0.000023,0.000152,0.000237,0.060252,0.000332,Pfizer/BioNTech
Albania,1/20/2021,0.000006,0.000008,0.020268,0.000012,0.000021,0.000152,0.07766,0.060252,0.000295,Pfizer/BioNTech
Albania,2/28/2021,0.000006,0.000009,0.019924,0.00001,0.000018,0.000152,0.000237,0.060252,0.000258,Pfizer/BioNTech
Albania,2/28/2021,0.022036,0.027976,0.019924,0.027992,0.000015,0.062946,0.077042,0.060252,0.000221,Pfizer/BioNTech
Albania,1/23/2021,0.022036,0.027976,0.019924,0.027992,0.000012,0.062946,0.077042,0.060252,0.046467,Pfizer/BioNTech
Albania,1/24/2021,0.022036,0.027976,0.019924,0.028141,0.000009,0.062946,0.077042,0.060252,0.000129,Pfizer/BioNTech
Albania,1/25/2021,0.022036,0.027976,0.019924,0.027992,0.027278,0.062946,0.077042,0.060252,0.000092,Pfizer/BioNTech
Albania,1/26/2021,0.022036,0.027976,0.019924,0.027992,0.000004,0.062946,0.077042,0.060252,0.000055,Pfizer/BioNTech
Albania,1/27/2021,0.022036,0.027976,0.019924,0.027992,0.000001,0.062946,0.077042,0.060252,0.000018,Pfizer/BioNTech
Canada,1/28/2021,0.022036,0.027976,0.019924,0.027992,0.026772,0.062946,0.077042,0.060252,0.046467,Pfizer/BioNTech
Albania,2/28/2021,0.022036,0.027976,0.020268,0.027992,0.026772,0.062946,0.077042,0.060252,0.046906,Pfizer/BioNTech
Albania,1/30/2021,0.022036,0.027976,0.019924,0.028141,0.026772,0.062946,0.077042,0.060252,0.046906,Pfizer/BioNTech
Albania,1/31/2021,0.022036,0.027976,0.020268,0.027992,0.026772,0.062946,0.077042,0.060252,0.046906,Pfizer/BioNTech
Albania,2/1/2021,0.022036,0.027976,0.020268,0.027992,0.026772,0.063035,0.07766,0.05955,0.046906,Pfizer/BioNTech
Albania,2/2/2021,0.000006,0.000009,0.020268,0.027992,0.026772,0.000152,0.000237,0,0.046906,Pfizer/BioNTech
Albania,2/3/2021,0.022036,0.028297,0.019924,0.027992,0.000005,0.063035,0.077042,0.060252,0.000074,Pfizer/BioNTech
Albania,2/4/2021,0.022036,0.027976,0.019924,0.027992,0.000011,0.062946,0.077042,0.05955,0.000147,Pfizer/BioNTech
Albania,2/5/2021,0.022036,0.028297,0.020268,0.027992,0.000016,0.062946,0.077042,0.060252,0.000221,Pfizer/BioNTech
Albania,2/6/2021,0.022036,0.028297,0.019924,0.027992,0.000021,0.062946,0.077042,0.05955,0.000295,Pfizer/BioNTech
Albania,2/7/2021,0.022036,0.027976,0.020268,0.027992,0.000027,0.062946,0.077042,0.060252,0.000387,Pfizer/BioNTech
Albania,2/8/2021,0.022036,0.027976,0.019924,0.027992,0.000032,0.062946,0.077042,0.060252,0.000461,Pfizer/BioNTech
Albania,2/9/2021,0.000012,0.000011,0.000014,0.027992,0.000037,0.063035,0.000237,0.05955,0.000516,Pfizer/BioNTech
Albania,2/28/2021,0.022036,0.027976,0.019924,0.027992,0.000037,0.062946,0.077042,0.060252,0.046467,Pfizer/BioNTech
Albania,2/11/2021,0.022036,0.027976,0.019924,0.027992,0.000036,0.062946,0.077042,0.060252,0.000498,Pfizer/BioNTech
