country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Albania,1/10/2021,,,,,,0,0,,,Pfizer/BioNTech
Albania,1/11/2021,,,,,64,,,,22,Pfizer/BioNTech
Albania,1/12/2021,128,128,,,64,0,0,,22,Pfizer/BioNTech
Albania,1/13/2021,188,188,,60,63,0.01,0.01,,22,Pfizer/BioNTech
Albania,1/14/2021,266,266,,78,66,0.01,0.01,,23,Pfizer/BioNTech
Albania,1/15/2021,308,308,,42,62,0.01,0.01,,22,Pfizer/BioNTech
Albania,1/16/2021,369,369,,61,62,0.01,0.01,,22,Pfizer/BioNTech
Albania,1/17/2021,405,405,,36,58,0.01,0.01,,20,Pfizer/BioNTech
Albania,1/18/2021,447,447,,42,55,0.02,0.02,,19,Pfizer/BioNTech
Albania,1/19/2021,483,483,,36,51,0.02,0.02,,18,Pfizer/BioNTech
Albania,1/20/2021,519,519,,36,47,0.02,0.02,,16,Pfizer/BioNTech
Albania,1/21/2021,549,549,,30,40,0.02,0.02,,14,Pfizer/BioNTech
Albania,1/22/2021,,,,,34,,,,12,Pfizer/BioNTech
Albania,1/23/2021,,,,,26,,,,9,Pfizer/BioNTech
Albania,1/24/2021,,,,,21,,,,7,Pfizer/BioNTech
Albania,1/25/2021,,,,,15,,,,5,Pfizer/BioNTech
Albania,1/26/2021,,,,,9,,,,3,Pfizer/BioNTech
Albania,1/27/2021,,,,,4,,,,1,Pfizer/BioNTech
Albania,1/28/2021,,,,,,,,,,Pfizer/BioNTech
Albania,1/29/2021,,,,,,,,,,Pfizer/BioNTech
Albania,1/30/2021,,,,,,,,,,Pfizer/BioNTech
Albania,1/31/2021,,,,,,,,,,Pfizer/BioNTech
Albania,2/1/2021,,,,,,,,,,Pfizer/BioNTech
Albania,2/2/2021,550,549,1,,,0.02,0.02,0,,Pfizer/BioNTech
Albania,2/3/2021,,,,,12,,,,4,Pfizer/BioNTech
Albania,2/4/2021,,,,,24,,,,8,Pfizer/BioNTech
Albania,2/5/2021,,,,,35,,,,12,Pfizer/BioNTech
Albania,2/6/2021,,,,,47,,,,16,Pfizer/BioNTech
Albania,2/7/2021,,,,,59,,,,21,Pfizer/BioNTech
Albania,2/8/2021,,,,,71,,,,25,Pfizer/BioNTech
Albania,2/9/2021,1127,689,438,,82,0.04,0.02,0.02,28,Pfizer/BioNTech
Albania,2/10/2021,,,,,81,,,,28,Pfizer/BioNTech
Albania,2/11/2021,,,,,79,,,,27,Pfizer/BioNTech
Albania,2/12/2021,,,,,78,,,,27,Pfizer/BioNTech
Albania,2/13/2021,,,,,76,,,,26,Pfizer/BioNTech
Albania,2/14/2021,,,,,75,,,,26,Pfizer/BioNTech
Albania,2/15/2021,,,,,73,,,,25,Pfizer/BioNTech
Albania,2/16/2021,,,,,72,,,,25,Pfizer/BioNTech
Albania,2/17/2021,1701,1090,611,,72,0.06,0.04,0.02,25,Pfizer/BioNTech
Albania,2/18/2021,3049,2438,611,1348,254,0.11,0.08,0.02,88,Pfizer/BioNTech
Albania,2/19/2021,4177,,,1128,405,0.15,,,141,Pfizer/BioNTech
Albania,2/20/2021,,,,,516,,,,179,Pfizer/BioNTech
Albania,2/21/2021,,,,,627,,,,218,Pfizer/BioNTech
Albania,2/22/2021,6728,6073,655,,739,0.23,0.21,0.02,257,Pfizer/BioNTech
Albania,2/23/2021,,,,,891,,,,310,Pfizer/BioNTech
Albania,2/24/2021,,,,,1043,,,,362,Pfizer/BioNTech
Albania,2/25/2021,10135,,,,1012,0.35,,,352,Pfizer/BioNTech
Albania,2/26/2021,,,,,1000,,,,347,Pfizer/BioNTech
Albania,2/27/2021,,,,,1027,,,,357,Pfizer/BioNTech
Albania,2/28/2021,,,,,1054,,,,366,Pfizer/BioNTech
Albania,3/1/2021,14295,,,,1081,0.5,,,376,Pfizer/BioNTech
Albania,3/2/2021,,,,,1026,,,,357,Pfizer/BioNTech
Albania,3/3/2021,15793,,,,971,0.55,,,337,Pfizer/BioNTech
Algeria,1/29/2021,0,,,,,0,,,,Sputnik V
Algeria,1/30/2021,30,,,30,30,0,,,1,Sputnik V
Algeria,1/31/2021,,,,,1889,,,,43,Sputnik V
Algeria,2/1/2021,,,,,2509,,,,57,Sputnik V
Algeria,2/2/2021,,,,,2819,,,,64,Sputnik V
Algeria,2/3/2021,,,,,3005,,,,69,Sputnik V
Algeria,2/4/2021,,,,,3129,,,,71,Sputnik V
Algeria,2/5/2021,,,,,3217,,,,73,Sputnik V
Algeria,2/6/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/7/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/8/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/9/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/10/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/11/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/12/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/13/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/14/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/15/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/16/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/17/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/18/2021,,,,,3748,,,,85,Sputnik V
Algeria,2/19/2021,75000,,,,3748,0.17,,,85,Sputnik V
Andorra,1/25/2021,576,576,,,,0.75,0.75,,,Pfizer/BioNTech
Andorra,1/26/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,1/27/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,1/28/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,1/29/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,1/30/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,1/31/2021,,,,,66,,,,854,Pfizer/BioNTech
Andorra,2/1/2021,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech
Andorra,2/2/2021,,,,,60,,,,777,Pfizer/BioNTech
Andorra,2/3/2021,,,,,55,,,,712,Pfizer/BioNTech
Andorra,2/4/2021,,,,,50,,,,647,Pfizer/BioNTech
Andorra,2/5/2021,,,,,44,,,,569,Pfizer/BioNTech
Andorra,2/6/2021,,,,,39,,,,505,Pfizer/BioNTech
Andorra,2/7/2021,,,,,34,,,,440,Pfizer/BioNTech
Andorra,2/8/2021,,,,,28,,,,362,Pfizer/BioNTech
Andorra,2/9/2021,,,,,28,,,,362,Pfizer/BioNTech
Andorra,2/10/2021,1291,1291,,,28,1.67,1.67,,362,Pfizer/BioNTech
Andorra,2/11/2021,,,,,48,,,,621,Pfizer/BioNTech
Andorra,2/12/2021,1622,1622,,,68,2.1,2.1,,880,Pfizer/BioNTech
Andorra,2/13/2021,,,,,74,,,,958,Pfizer/BioNTech
Andorra,2/14/2021,,,,,81,,,,1048,Pfizer/BioNTech
Andorra,2/15/2021,,,,,87,,,,1126,Pfizer/BioNTech
Andorra,2/16/2021,,,,,94,,,,1217,Pfizer/BioNTech
Andorra,2/17/2021,,,,,100,,,,1294,Pfizer/BioNTech
Andorra,2/18/2021,,,,,87,,,,1126,Pfizer/BioNTech
Andorra,2/19/2021,2141,2141,,,74,2.77,2.77,,958,Pfizer/BioNTech
Andorra,2/20/2021,,,,,71,,,,919,Pfizer/BioNTech
Andorra,2/21/2021,,,,,67,,,,867,Pfizer/BioNTech
Andorra,2/22/2021,,,,,64,,,,828,Pfizer/BioNTech
Andorra,2/23/2021,,,,,60,,,,777,Pfizer/BioNTech
Andorra,2/24/2021,2390,2390,,,57,3.09,3.09,,738,Pfizer/BioNTech
Andorra,2/25/2021,,,,,56,,,,725,Pfizer/BioNTech
Andorra,2/26/2021,2526,2526,,,55,3.27,3.27,,712,Pfizer/BioNTech
Anguilla,2/4/2021,0,0,,,,0,0,,,Oxford/AstraZeneca
Anguilla,2/5/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/6/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/7/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/8/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/9/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/10/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/11/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/12/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Anguilla,2/13/2021,1341,1341,,,149,8.94,8.94,,9932,Oxford/AstraZeneca
Anguilla,2/14/2021,2762,2762,,1421,331,18.41,18.41,,22064,Oxford/AstraZeneca
Anguilla,2/15/2021,,,,,323,,,,21530,Oxford/AstraZeneca
Anguilla,2/16/2021,,,,,316,,,,21064,Oxford/AstraZeneca
Anguilla,2/17/2021,,,,,309,,,,20597,Oxford/AstraZeneca
Anguilla,2/18/2021,,,,,301,,,,20064,Oxford/AstraZeneca
Anguilla,2/19/2021,,,,,294,,,,19597,Oxford/AstraZeneca
Anguilla,2/20/2021,,,,,286,,,,19064,Oxford/AstraZeneca
Anguilla,2/21/2021,,,,,97,,,,6466,Oxford/AstraZeneca
Anguilla,2/22/2021,,,,,97,,,,6466,Oxford/AstraZeneca
Anguilla,2/23/2021,,,,,97,,,,6466,Oxford/AstraZeneca
Anguilla,2/24/2021,,,,,97,,,,6466,Oxford/AstraZeneca
Anguilla,2/25/2021,,,,,97,,,,6466,Oxford/AstraZeneca
Anguilla,2/26/2021,3929,3929,,,97,26.19,26.19,,6466,Oxford/AstraZeneca
Argentina,12/29/2020,700,,,,,0,,,,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,12/30/2020,,,,,15656,,,,346,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,12/31/2020,32013,,,,15656,0.07,,,346,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,1/1/2021,,,,,11070,,,,245,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,1/2/2021,,,,,8776,,,,194,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,1/3/2021,,,,,7400,,,,164,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,1/4/2021,39599,,,,6483,0.09,,,143,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
