@relation delaney-weka.filters.unsupervised.attribute.Standardize

@attribute MolLogP numeric
@attribute MolWt numeric
@attribute NumRotatableBonds numeric
@attribute AromaticProportion numeric
@attribute logS numeric

@data
0.078385,-0.358424,-0.827416,-1.062996,-2.18
-0.038924,-0.694078,-0.827416,-1.062996,-2
0.077528,-0.358424,-0.446811,-1.062996,-1.74
-0.225205,-0.694078,-0.446811,-1.062996,-1.48
0.25175,-0.16816,-0.446811,-1.062996,-3.04
-0.342515,-1.029733,-0.827416,-1.062996,-1.29
-0.275419,-1.049378,-0.827416,-1.062996,-1.64
-0.559342,-0.84248,0.695003,-1.062996,-0.43
0.991996,0.109747,-0.827416,0.684721,-4.57
0.062308,-0.705762,-0.827416,0.684721,-4.37
0.991996,0.109747,-0.827416,0.684721,-4.63
0.641835,-0.225907,-0.827416,0.878911,-4
0.087206,-0.822805,-0.827416,0.878911,-3.2
1.225865,1.842384,-0.827416,0.684721,-6.98
0.991996,0.109747,-0.827416,0.684721,-5.56
0.25249,-0.686117,-0.827416,0.684721,-4.59
0.817237,1.07357,-0.827416,0.878911,-4.5
0.641835,-0.225907,-0.827416,0.878911,-3.59
0.087206,-0.822805,-0.827416,0.878911,-3.31
-0.724186,-0.92106,-0.827416,1.12165,0.62
0.40861,0.304757,-0.827416,1.12165,-3.5
-0.360628,-0.163414,-0.446811,-1.062996,-1.68
0.291675,-0.561561,-0.827416,1.12165,-3.05
-0.527938,-1.029733,-0.446811,-1.062996,-1.06
-0.319739,-0.893045,-0.446811,-1.062996,-1.6
0.107431,-0.328508,-0.446811,-1.062996,-2.74
-0.744765,-0.84248,1.075607,-1.062996,-0.77
0.194141,-0.686117,-0.066207,0.684721,-3.28
-0.507037,-0.35591,-0.066207,0.393435,-3.1
-1.095407,-1.428094,-0.827416,-1.062996,-0.59
0.817237,1.07357,-0.827416,0.878911,-5.6
0.641835,-0.225907,-0.827416,0.878911,-4.48
0.087206,-0.822805,-0.827416,0.878911,-3.4
-0.556233,0.08257,0.314398,0.102148,-2.89
-0.724186,-0.92106,-0.827416,1.12165,0.81
-0.584529,-1.466955,-0.446811,-1.062996,-1.87
0.40861,0.304757,-0.827416,1.12165,-3.54
0.291675,-0.561561,-0.827416,1.12165,-3.04
-0.318881,-0.893045,-0.066207,-1.062996,-1.62
-1.049748,-0.705509,-0.066207,-1.062996,-1.46
-0.259557,-0.882257,-0.827416,1.12165,-2
0.539928,-0.471676,-0.827416,1.364388,-4.29
-0.507037,-0.35591,-0.066207,0.393435,-2.29
-0.724186,-0.92106,-0.827416,1.12165,-0.17
-0.298249,-1.213224,-0.827416,-1.062996,-2.06
0.40861,0.304757,-0.827416,1.12165,-4.07
0.291675,-0.561561,-0.827416,1.12165,-3.27
0.194141,-0.686117,-0.066207,0.684721,-3.75
-0.259557,-0.882257,-0.827416,1.12165,-1.97
0.539928,-0.471676,-0.827416,1.364388,-4.14
-0.507037,-0.35591,-0.066207,0.393435,-3.39
-0.375473,-1.330267,-0.066207,-1.062996,-2.09
0.539928,-0.471676,-0.827416,1.364388,-4.679
-0.166416,-1.193579,0.314398,-1.062996,-2.68
0.178921,-0.23798,-0.827416,1.849865,-2.68
0.158074,-0.490922,-0.827416,-1.062996,-1.74
0.975436,0.953282,-0.827416,-1.062996,-3.999
0.279242,-0.101292,-0.827416,1.655674,-4.22
-0.220703,-0.658852,-0.446811,-1.062996,-2.43
-0.14348,-0.658852,-0.066207,-1.062996,-2.37
0.48369,-0.248787,1.075607,-1.062996,-4.43
0.274633,-0.385475,0.695003,-1.062996,-3.81
0.617988,0.023761,-0.827416,1.585059,-4.35
0.692746,-0.112099,1.456212,-1.062996,-5.06
0.065577,-0.522163,0.314398,-1.062996,-3.08
-0.352536,-0.79554,-0.446811,-1.062996,-1.73
-0.89514,-1.27176,-0.066207,-1.062996,0
-0.464487,-1.44731,-0.446811,-1.062996,-1.94
-0.760735,-1.466955,-0.827416,-1.062996,-1.24
-0.444283,-0.596574,-0.446811,-1.062996,-1.32
-0.304358,-1.092011,-0.446811,-1.062996,-2
-0.227134,-1.092011,-0.066207,-1.062996,-2.03
0.400035,-0.681946,1.075607,-1.062996,-4
0.190979,-0.818634,0.695003,-1.062996,-3.12
0.55952,-0.409398,-0.827416,1.585059,-3.93
-0.018078,-0.955323,0.314398,-1.062996,-2.73
-0.436191,-1.228699,-0.446811,-1.062996,-1.47
0.359199,-0.451632,2.217421,-1.062996,-3.63
0.789852,-0.627181,1.836817,-1.062996,-5.51
0.777312,-0.178256,2.97863,-1.062996,-4.8
